Timestamp,Name,Business,Phone,Email,Address,Website,Facebook,Instagram
,Em Tea Coffee,Restaurant,(716) 884-1444,,"80 Oakgrove Avenue Buffalo, New York",http://www.emteacoffeecup.com/,https://www.facebook.com/Em-Tea-Coffeecup-Cafe-115576138467893/,
,Freddy J's BBQ,Restaurant,(716) 424-2926,,"195 Grant St, Buffalo, NY 14213",,https://www.facebook.com/freddyjsongrant/,
,"G&B Fish, Shrimp and Chicken",Restaurant,(716) 331-3485,,"1532 Genesee Street Buffalo, NY 14211",https://gandbfishshrimpandchicken.com/menu,,
,Ikes & BG's Restaurant,Restaurant,(716) 892-4301,,"1646 Genesee St, Buffalo, NY 14211",https://ikeandbgsrestaurant.com/,https://www.facebook.com/pages/category/Barbecue-Restaurant/IKE-BGS-Restuarant-756226574565144/,
,Island Mix Restaurant,Restaurant,(716) 380-9115,,"883 Jefferson Ave, Buffalo, NY 14204",,https://www.facebook.com/pages/Island-Mix-Restaurant/1442767192467539,
,Je Ne Sais Quoi,Restaurant,(716) 440-1065,,"1673 & 1633 Hertel Ave Buffalo, NY 14216",https://www.jenesaisquoibuffalo.com,https://www.facebook.com/pages/category/Soul-Food-Restaurant/Je-Ne-Sais-Quoi-Taste-Like-Something-805980702840452/,
,Kalypso Restaurant,Restaurant,(716) 834-3663,,"12 Winspear Ave, Buffalo, NY 14214",,https://www.facebook.com/KalypsoRestaurant/,
,La Verdad Cafe,Restaurant,(716) 768-3150,,"1132 East Lovejoy, Buffalo, NY 14206",,https://www.facebook.com/MudfootJonesSr/,
,Lee's Barbecue,Restaurant,(716) 896-8887,,"1269 Fillmore Ave, Buffalo, NY 14211",,https://www.facebook.com/pages/Lees-Barbecue/115100655174684,
,Ms. Goodies,Restaurant,(716) 936-3690,,"1836 Bailey Ave, Buffalo, NY 14211",,https://www.facebook.com/ms.goodiesjunkyarddog/,
,"PhatCatz of WNY, Inc",Restaurant,(716) 235-8549,,"965 Kensington Ave, Buffalo, NY 14215",,https://www.facebook.com/phatcatzofwnyinc/,
,Pine Hill Halal Market,Restaurant,(716) 597-0002,,"286 Genesee St, Buffalo, NY 14225",,,
,Shy's Original Steak House,Restaurant,(716) 852-7497,,"690 Fillmore Ave, Buffalo, NY 14212",,https://www.facebook.com/ShysSteakhouse/,
,Sunshine Vegan Eats,Restaurant,(716) 725-0284,,"893 Jefferson Ave, Buffalo, NY 14204-1102",https://www.sunshineveganeats.com/,https://www.facebook.com/SunshineVeganEats/,
,The Oakk Room,Restaurant,(716) 771-2773,,"1435 Main St, Buffalo, NY 14209",https://www.theoakkroom.com/,https://www.facebook.com/TheOakkroom/,
,The Traphaus,Restaurant,(716) 322-5696,,,,https://www.facebook.com/traphauscatering/,
,WING KINGS 716,Restaurant,(716) 248-1427,,"484 Elmwood Ave Buffalo, New York 14222",,https://www.facebook.com/WINGKINGS716/,
,Agorie Headwear,Retail,(716) 834-4287,,"1434 Hertel Avenue, Buffalo, NY 14216",http://www.agorieheadwear.com/,https://www.facebook.com/agorieheadwear/,
,Classic Knot,Retail,(716) 544-8840,,"P.O. Box 556 ?Amherst, NY 14226",https://www.classicknot.com/,https://www.facebook.com/classicknot,
,Masaai Consignment Boutique,Retail,(716) 322-5696,,"208 E Delavan Ave Buffalo, New York 14208-1225",,https://www.facebook.com/maasaicb/,
,Serene Candles by Mia,Retail,,,,,https://www.facebook.com/serenecandlesbymia/,
,The Ink Spot,Retail,(716) 881-7594,,"1440 Jefferson Ave. Buffalo, NY 14208",,https://www.facebook.com/The-Ink-Spot-258285857561522/,
,B&C Home Care,Senior Care,(716) 633-7400,,"6400 Sheridan Dr ste 116, Williamsville, Buffalo, NY 14221, USA",https://www.bncunited.com/,https://www.facebook.com/bandcunited/,
,Nubian Onyx,Spa,(716) 406-8276,,"4219 Transit Rd, Williamsville, NY 14221",https://www.nubianonyx.com/,https://www.facebook.com/NubianOnyx/,
,Rejuvinex Spa,Spa,(716) 877-2220,,"2750 Delaware Ave, Buffalo, NY 14217",http://rejuvinexspa.com/,https://www.facebook.com/rejuvinexspa/,
,SalleyNycole’s Skin & Beauty Boutique,Skin & Beauty,(716) 226-8450,,990 Kenmore Ave Buffalo NY 14216,https://www.styleseat.com/m/v/salleynycole,,
,Paint The Town,Studio,(716) 241-1516,,"74 Allen St, Buffalo, NY 14202",http://paintthetown716.com/,https://www.facebook.com/PainttheTown716/,
,Annrhods Tailoring,Tailoring,(716) 838-5633,,"3185 Bailey Ave, Buffalo, NY 14215",,,
,Good Form Fitness,Trainer,(716) 446-3734,,,https://square.site/book/6K09KZ3WA09QP/good-form-fitness,,https://www.instagram.com/_goodformfitness_/
,716 Towing & Roadside,Towing,(716) 229-0412,,,https://716towingandroadside.com/,https://www.facebook.com/Towaholic1/,
,The Wigtique,Wigs,,,,https://www.thewigtique.com/,,
,Mind Body Flow Yoga,Yoga Studio,(716) 218-3167,,"9380 Transit Road East Amherst, NY 14051",https://mindbodyflowyoga.com/,,
